Product_ID,Plant_Code,Ship_ahead_day_count,Destination_Port,Carrier,Unit_quantity,Weight
1697317,PLANT16,3,PORT09,V44_3,2943,540.68
1697317,PLANT16,3,PORT09,V44_3,2936,567.68
1696799,PLANT16,3,PORT09,V44_3,2985,484.68
1697317,PLANT16,3,PORT09,V44_3,2938,521.68
1697317,PLANT16,3,PORT09,V44_3,716,83.36
1696799,PLANT16,3,PORT09,V44_3,4464,813.28
1696799,PLANT16,3,PORT09,V44_3,2109,331.12
1696799,PLANT16,3,PORT09,V44_3,2978,504.68
1696799,PLANT16,3,PORT09,V44_3,2100,333.12
1697317,PLANT16,3,PORT09,V44_3,2066,341.12
1697317,PLANT16,3,PORT09,V44_3,2972,508.68
1697317,PLANT16,3,PORT09,V44_3,2069,348.12
1697317,PLANT16,3,PORT09,V44_3,2233,404.8
1697317,PLANT16,3,PORT09,V44_3,2088,353.12
1696798,PLANT16,3,PORT09,V44_3,2665,417.92
1696798,PLANT16,3,PORT09,V44_3,1961,308.36
1696798,PLANT16,3,PORT09,V44_3,2974,524.16
1696798,PLANT16,3,PORT09,V44_3,2322,397.6
1696798,PLANT16,3,PORT09,V44_3,950,132.56
1696798,PLANT16,3,PORT09,V44_3,1942,292.36
1696798,PLANT16,3,PORT09,V44_3,352,19.08
1696798,PLANT16,3,PORT09,V44_3,1208,176.72
1696798,PLANT16,3,PORT09,V44_3,2117,293.44
1696798,PLANT16,3,PORT09,V44_3,2087,341.44
1696798,PLANT16,3,PORT09,V44_3,3927,608.88
1696798,PLANT16,3,PORT09,V44_3,4090,641.04
1696798,PLANT16,3,PORT09,V44_3,3851,704.88
1696798,PLANT16,3,PORT09,V44_3,3927,619.88
1696798,PLANT16,3,PORT09,V44_3,3845,676.88
1699333,PLANT03,0,PORT09,V44_3,1529,3.008251427
1699268,PLANT03,0,PORT09,V44_3,1495,2.653359699
1699268,PLANT03,0,PORT09,V44_3,899,1.326679849
1699268,PLANT03,0,PORT09,V44_3,1437,2.653359699
1699584,PLANT03,0,PORT09,V44_3,1914,5.94
1699584,PLANT03,0,PORT09,V44_3,1956,5.94
1699584,PLANT03,0,PORT09,V44_3,1964,5.94
1699584,PLANT03,0,PORT09,V44_3,1961,5.94
1699584,PLANT03,0,PORT09,V44_3,3624,11.82
1699562,PLANT03,0,PORT09,V44_3,4802,8.892328134
1699562,PLANT03,0,PORT09,V44_3,4871,8.892328134
1699562,PLANT03,0,PORT09,V44_3,1768,2.964109378
1699564,PLANT03,0,PORT09,V44_3,10054,8.931931144
1699564,PLANT03,0,PORT09,V44_3,14988,13.39789672
1699564,PLANT03,0,PORT09,V44_3,10079,8.931931144
1699561,PLANT03,0,PORT09,V44_3,12802,10.8954652
1699561,PLANT03,0,PORT09,V44_3,5308,4.35818608
1699561,PLANT03,0,PORT09,V44_3,10309,8.716372159
1699561,PLANT03,0,PORT09,V44_3,10235,8.716372159
1699561,PLANT03,0,PORT09,V44_3,10295,8.716372159
1699793,PLANT03,0,PORT09,V44_3,1910,5.92
1700980,PLANT03,0,PORT09,V44_3,2840,5.76
1699792,PLANT03,0,PORT09,V44_3,12737,9.302254114
1699792,PLANT03,0,PORT09,V44_3,42789,28.62766399
1699792,PLANT03,0,PORT09,V44_3,7821,5.581352469
1699792,PLANT03,0,PORT09,V44_3,20304,13.88360658
1699792,PLANT03,0,PORT09,V44_3,15243,11.16270494
1699792,PLANT03,0,PORT09,V44_3,10279,7.441803291
1699314,PLANT03,0,PORT09,V44_3,1156,6.446666667
1699314,PLANT03,0,PORT09,V44_3,1233,6.44
1699314,PLANT03,0,PORT09,V44_3,1196,6.4
1699315,PLANT03,0,PORT09,V44_3,19176,51.97976608
1699315,PLANT03,0,PORT09,V44_3,5648,16.7085046
1699312,PLANT03,0,PORT09,V44_3,3905,9.471312
1699795,PLANT03,0,PORT09,V44_3,6662,13.33134639
1699795,PLANT03,0,PORT09,V44_3,13116,30.66269278
1699795,PLANT03,0,PORT09,V44_3,1847,3.582836597
1699795,PLANT03,0,PORT09,V44_3,6694,13.33134639
1699795,PLANT03,0,PORT09,V44_3,3505,7.165673194
1699795,PLANT03,0,PORT09,V44_3,6652,14.33134639
1699795,PLANT03,0,PORT09,V44_3,5125,10.74850979
1699797,PLANT03,0,PORT09,V44_3,5966,8.199930523
1699797,PLANT03,0,PORT09,V44_3,4060,5.466620348
1699797,PLANT03,0,PORT09,V44_3,11655,17.39986105
1699797,PLANT03,0,PORT09,V44_3,6010,8.199930523
1699797,PLANT03,0,PORT09,V44_3,7920,11.9332407
1699371,PLANT03,0,PORT09,V44_3,6005,5.8977068
1699371,PLANT03,0,PORT09,V44_3,2249,1.965902267
1699836,PLANT03,0,PORT09,V44_3,12243,118.74
1699836,PLANT03,0,PORT09,V44_3,3864,33.86
1699329,PLANT03,0,PORT09,V44_3,8665,45.19328472
1699329,PLANT03,0,PORT09,V44_3,858,3.156663194
1699329,PLANT03,0,PORT09,V44_3,2677,13.62665278
1699329,PLANT03,0,PORT09,V44_3,854,3.156663194
1699327,PLANT03,0,PORT09,V44_3,926,2.697477693
1699623,PLANT03,0,PORT09,V44_3,10531,39.18065154
1699625,PLANT03,0,PORT09,V44_3,12240,46.29109617
1699625,PLANT03,0,PORT09,V44_3,840,2.114554808
1699625,PLANT03,0,PORT09,V44_3,9288,34.71832212
1699625,PLANT03,0,PORT09,V44_3,844,2.114554808
1699625,PLANT03,0,PORT09,V44_3,15926,56.97842501
1699248,PLANT03,0,PORT09,V44_3,1445,3.987005723
1699248,PLANT03,0,PORT09,V44_3,3291,9.967514308
1699248,PLANT03,0,PORT09,V44_3,3250,9.967514308
1699416,PLANT03,0,PORT09,V44_3,4500,12.79197484
1699416,PLANT03,0,PORT09,V44_3,5049,15.76225696
1699416,PLANT03,0,PORT09,V44_3,2682,7.88112848
1699416,PLANT03,0,PORT09,V44_3,5088,15.76225696
1699418,PLANT03,0,PORT09,V44_3,14093,48.30336532
1699418,PLANT03,0,PORT09,V44_3,890,1.926233275
1699419,PLANT03,0,PORT09,V44_3,5092,13.15486052
1699419,PLANT03,0,PORT09,V44_3,2708,7.077430258
1699419,PLANT03,0,PORT09,V44_3,7494,23.23229077
1699419,PLANT03,0,PORT09,V44_3,2704,7.077430258
1699419,PLANT03,0,PORT09,V44_3,9853,29.30972103
1699419,PLANT03,0,PORT09,V44_3,12895,39.15650885
1699419,PLANT03,0,PORT09,V44_3,5075,15.15486052
1699419,PLANT03,0,PORT09,V44_3,897,1.769357565
1699419,PLANT03,0,PORT09,V44_3,2700,7.077430258
1699417,PLANT03,0,PORT09,V44_3,10274,22.58849844
1699417,PLANT03,0,PORT09,V44_3,10333,21.58849844
1699417,PLANT03,0,PORT09,V44_3,7282,16.51194891
1699417,PLANT03,0,PORT09,V44_3,4314,9.435399377
1699417,PLANT03,0,PORT09,V44_3,5323,12.79424922
1699417,PLANT03,0,PORT09,V44_3,3318,7.076549533
1699378,PLANT03,0,PORT09,V44_3,3324,5.338981995
1699378,PLANT03,0,PORT09,V44_3,12256,23.35592798
1699553,PLANT03,0,PORT09,V44_3,678,1.740858902
1699553,PLANT03,0,PORT09,V44_3,703,1.740858902
1699553,PLANT03,0,PORT09,V44_3,680,1.740858902
1699557,PLANT03,0,PORT09,V44_3,1141,3.045939285
1699557,PLANT03,0,PORT09,V44_3,1530,4.568908928
1699557,PLANT03,0,PORT09,V44_3,1107,3.045939285
1699557,PLANT03,0,PORT09,V44_3,1089,3.045939285
1699557,PLANT03,0,PORT09,V44_3,1081,3.045939285
1699555,PLANT03,0,PORT09,V44_3,1144,2.910980721
1699555,PLANT03,0,PORT09,V44_3,1094,2.910980721
1699555,PLANT03,0,PORT09,V44_3,1137,2.910980721
1699555,PLANT03,0,PORT09,V44_3,1145,2.910980721
1699555,PLANT03,0,PORT09,V44_3,674,1.455490361
1699555,PLANT03,0,PORT09,V44_3,660,1.455490361
1699555,PLANT03,0,PORT09,V44_3,1949,5.821961442
1699310,PLANT03,0,PORT09,V44_3,1164,6.566666667
1699310,PLANT03,0,PORT09,V44_3,1176,6.56
1699311,PLANT03,0,PORT09,V44_3,5666,41.2
1699311,PLANT03,0,PORT09,V44_3,2971,20.58
1699310,PLANT03,0,PORT09,V44_3,1198,6.48
1699265,PLANT03,0,PORT09,V44_3,1279,4.643792751
1699526,PLANT03,0,PORT09,V44_3,1905,6.44
1699525,PLANT03,0,PORT09,V44_3,6697,25.6
1699526,PLANT03,0,PORT09,V44_3,1882,6.4
1699525,PLANT03,0,PORT09,V44_3,1895,6.38
1699700,PLANT03,0,PORT09,V44_3,5250,3.94
1699022,PLANT03,0,PORT09,V44_3,10278,35.52
1699674,PLANT03,0,PORT09,V44_3,7449,21.50245113
1699674,PLANT03,0,PORT09,V44_3,3000,8.438419173
1699345,PLANT03,0,PORT09,V44_3,1323,2.985013808
1699345,PLANT03,0,PORT09,V44_3,1271,2.985013808
1699345,PLANT03,0,PORT09,V44_3,1327,2.985013808
1699345,PLANT03,0,PORT09,V44_3,2278,5.970027615
1699540,PLANT03,0,PORT09,V44_3,5120,8.615247601
1699540,PLANT03,0,PORT09,V44_3,5033,8.615247601
1699540,PLANT03,0,PORT09,V44_3,1846,2.8717492
1699540,PLANT03,0,PORT09,V44_3,9888,18.2304952
1699540,PLANT03,0,PORT09,V44_3,3462,5.7434984
1699540,PLANT03,0,PORT09,V44_3,5123,8.615247601
1699368,PLANT03,0,PORT09,V44_3,1873,1.930522091
1699368,PLANT03,0,PORT09,V44_3,1932,1.930522091
1699368,PLANT03,0,PORT09,V44_3,5128,5.791566273
1699368,PLANT03,0,PORT09,V44_3,5066,5.791566273
1699368,PLANT03,0,PORT09,V44_3,1870,1.930522091
1699368,PLANT03,0,PORT09,V44_3,13048,15.44417673
1699368,PLANT03,0,PORT09,V44_3,1912,1.930522091
1699372,PLANT03,0,PORT09,V44_3,1128,0.789763277
1699372,PLANT03,0,PORT09,V44_3,1930,1.579526553
1699220,PLANT03,0,PORT09,V44_3,1931,0.075121356
1699575,PLANT03,0,PORT09,V44_3,41852,107.5236364
1699575,PLANT03,0,PORT09,V44_3,26302,67.57727273
1699575,PLANT03,0,PORT09,V44_3,26242,63.04
1699537,PLANT03,0,PORT09,V44_3,4832,11.71987585
1699537,PLANT03,0,PORT09,V44_3,1183,2.143975171
1699537,PLANT03,0,PORT09,V44_3,1142,2.143975171
1699537,PLANT03,0,PORT09,V44_3,7505,17.15180136
1699537,PLANT03,0,PORT09,V44_3,3921,8.575900682
1699574,PLANT03,0,PORT09,V44_3,10372,17.65650833
1699574,PLANT03,0,PORT09,V44_3,3658,5.552169442
1699576,PLANT03,0,PORT09,V44_3,5446,6.314313908
1699576,PLANT03,0,PORT09,V44_3,5502,6.314313908
1699567,PLANT03,0,PORT09,V44_3,22787,19.49078841
1699567,PLANT03,0,PORT09,V44_3,5330,4.109064091
1699567,PLANT03,0,PORT09,V44_3,10296,8.218128182
1699567,PLANT03,0,PORT09,V44_3,10266,8.218128182
1699567,PLANT03,0,PORT09,V44_3,10240,8.218128182
1699567,PLANT03,0,PORT09,V44_3,22789,18.49078841
1699567,PLANT03,0,PORT09,V44_3,2794,2.054532046
1699841,PLANT03,0,PORT09,V44_3,1942,2.873199401
1699841,PLANT03,0,PORT09,V44_3,8695,15.36599701
1699841,PLANT03,0,PORT09,V44_3,3654,5.746398802
1699841,PLANT03,0,PORT09,V44_3,3667,5.746398802
1658528,PLANT03,0,PORT09,V44_3,304,0.573273739
1699166,PLANT03,0,PORT09,V44_3,581,3.44
1699591,PLANT03,0,PORT09,V44_3,4118,11.24513043
1699591,PLANT03,0,PORT09,V44_3,5098,14.05641304
1699591,PLANT03,0,PORT09,V44_3,5054,15.05641304
1699465,PLANT03,0,PORT09,V44_3,3836,4.943945192
1699465,PLANT03,0,PORT09,V44_3,2031,2.471972596
1699465,PLANT03,0,PORT09,V44_3,2026,2.471972596
1629341,PLANT03,0,PORT09,V44_3,660,5.775454545
1699242,PLANT03,0,PORT09,V44_3,841,1.77923094
1699242,PLANT03,0,PORT09,V44_3,891,1.77923094
1699242,PLANT03,0,PORT09,V44_3,895,1.77923094
1699242,PLANT03,0,PORT09,V44_3,870,1.77923094
1699242,PLANT03,0,PORT09,V44_3,857,1.77923094
1699242,PLANT03,0,PORT09,V44_3,844,1.77923094
1699242,PLANT03,0,PORT09,V44_3,853,1.77923094
1699799,PLANT03,0,PORT09,V44_3,2819,2.095795894
1699799,PLANT03,0,PORT09,V44_3,2745,2.095795894
1699799,PLANT03,0,PORT09,V44_3,2816,2.095795894
1699552,PLANT03,0,PORT09,V44_3,463,0.590121307
1699552,PLANT03,0,PORT09,V44_3,2386,6.045145095
1699552,PLANT03,0,PORT09,V44_3,754,1.209029019
1699552,PLANT03,0,PORT09,V44_3,1500,3.627087057
1699552,PLANT03,0,PORT09,V44_3,1539,3.627087057
1699552,PLANT03,0,PORT09,V44_3,1174,2.418058038
1699552,PLANT03,0,PORT09,V44_3,7440,19.55349332
1699552,PLANT03,0,PORT09,V44_3,1507,3.627087057
1699552,PLANT03,0,PORT09,V44_3,2372,6.045145095
1699552,PLANT03,0,PORT09,V44_3,2782,7.254174114
1699552,PLANT03,0,PORT09,V44_3,1976,4.836116076
1699552,PLANT03,0,PORT09,V44_3,1097,2.418058038
1693117,PLANT03,0,PORT09,V44_3,325,1.207741935
1693117,PLANT03,0,PORT09,V44_3,333,2.2
1699172,PLANT03,0,PORT09,V44_3,1191,11.5
1699173,PLANT03,0,PORT09,V44_3,1446,14.94
1699173,PLANT03,0,PORT09,V44_3,604,3.42
1699184,PLANT03,0,PORT09,V44_3,1314,6.373333333
1699184,PLANT03,0,PORT09,V44_3,1296,6.373333333
1699184,PLANT03,0,PORT09,V44_3,1318,6.28
1699353,PLANT03,0,PORT09,V44_3,1495,6.207562282
1699298,PLANT03,0,PORT09,V44_3,4258,12.59397511
1699345,PLANT03,0,PORT09,V44_3,1284,2.985013808
1699540,PLANT03,0,PORT09,V44_3,3532,5.7434984
1699540,PLANT03,0,PORT09,V44_3,1837,2.8717492
1699540,PLANT03,0,PORT09,V44_3,8251,15.358746
1699540,PLANT03,0,PORT09,V44_3,3461,5.7434984
1699540,PLANT03,0,PORT09,V44_3,3522,5.7434984
1699540,PLANT03,0,PORT09,V44_3,3440,5.7434984
1699540,PLANT03,0,PORT09,V44_3,1892,2.8717492
1699368,PLANT03,0,PORT09,V44_3,5074,5.791566273
1699697,PLANT03,0,PORT09,V44_3,2813,1.653936872
1699697,PLANT03,0,PORT09,V44_3,5296,3.307873744
1698924,PLANT03,0,PORT09,V44_3,8340,22.61244824
1698924,PLANT03,0,PORT09,V44_3,12917,38.2860306
1698997,PLANT03,0,PORT09,V44_3,10256,0.368850614
1698997,PLANT03,0,PORT09,V44_3,14248,0.51639086
1650905,PLANT03,3,PORT09,V44_3,638,6.436571429
1620510,PLANT03,3,PORT09,V44_3,419,2.352886836
1620510,PLANT03,3,PORT09,V44_3,374,3.5
1658532,PLANT03,3,PORT09,V44_3,305,0.819272962
1658532,PLANT03,3,PORT09,V44_3,268,0.409636481
1658532,PLANT03,3,PORT09,V44_3,336,0.819272962
1658532,PLANT03,3,PORT09,V44_3,319,0.819272962
1658532,PLANT03,3,PORT09,V44_3,361,0.819272962
1658532,PLANT03,3,PORT09,V44_3,383,1.228909443
1658532,PLANT03,3,PORT09,V44_3,308,0.819272962
1658532,PLANT03,3,PORT09,V44_3,327,0.819272962
1658532,PLANT03,3,PORT09,V44_3,324,0.20481824
1658532,PLANT03,3,PORT09,V44_3,344,1.228909443
1658528,PLANT03,3,PORT09,V44_3,303,0.286636869
1658528,PLANT03,3,PORT09,V44_3,353,0.286636869
1658528,PLANT03,3,PORT09,V44_3,644,4.08
1649008,PLANT03,3,PORT09,V44_3,423,1.297699115
1696757,PLANT03,3,PORT09,V44_3,299,2.177284597
1696757,PLANT03,3,PORT09,V44_3,301,2.177284597
1696757,PLANT03,3,PORT09,V44_3,377,4.427145348
1696757,PLANT03,3,PORT09,V44_3,308,2.177284597
1696758,PLANT03,3,PORT09,V44_3,244,0.059972466
1696758,PLANT03,3,PORT09,V44_3,312,0.179917397
1696758,PLANT03,3,PORT09,V44_3,340,2.338926161
1696758,PLANT03,3,PORT09,V44_3,304,0.119944931
1696758,PLANT03,3,PORT09,V44_3,333,0.299862328
1696758,PLANT03,3,PORT09,V44_3,340,1.199449313
1696758,PLANT03,3,PORT09,V44_3,263,1.139476848
1696758,PLANT03,3,PORT09,V44_3,397,9.595594506
1696746,PLANT03,3,PORT09,V44_3,276,0.530331806
1696746,PLANT03,3,PORT09,V44_3,243,0.265165903
1696746,PLANT03,3,PORT09,V44_3,291,0.088388634
1696746,PLANT03,3,PORT09,V44_3,302,0.220971586
1696746,PLANT03,3,PORT09,V44_3,307,0.530331806
1696746,PLANT03,3,PORT09,V44_3,313,2.828436299
1696746,PLANT03,3,PORT09,V44_3,339,0.486137489
1696748,PLANT03,3,PORT09,V44_3,291,0.071701063
1696748,PLANT03,3,PORT09,V44_3,337,0.358505317
1696748,PLANT03,3,PORT09,V44_3,301,1.43402127
1696748,PLANT03,3,PORT09,V44_3,317,0.358505317
1700382,PLANT03,3,PORT09,V44_3,254,2.910613718
1700382,PLANT03,3,PORT09,V44_3,339,2.910613718
1700382,PLANT03,3,PORT09,V44_3,270,5.96
1676566,PLANT03,3,PORT09,V44_3,288,0.104953763
1675654,PLANT03,3,PORT09,V44_3,434,0.945155161
1696074,PLANT03,3,PORT09,V44_3,257,0.177582968
1696074,PLANT03,3,PORT09,V44_3,513,1.820225426
1696073,PLANT03,3,PORT09,V44_3,335,0.01297592
1676853,PLANT03,3,PORT09,V44_3,268,0.002641625
1685214,PLANT03,3,PORT09,V44_3,341,0.255
1668612,PLANT03,3,PORT09,V44_3,313,0.372274882
1668612,PLANT03,3,PORT09,V44_3,303,1.786919431
1668612,PLANT03,3,PORT09,V44_3,333,2.680379147
1668612,PLANT03,3,PORT09,V44_3,316,0.893459716
1668612,PLANT03,3,PORT09,V44_3,296,0.372274882
1668612,PLANT03,3,PORT09,V44_3,374,1.786919431
1668607,PLANT03,3,PORT09,V44_3,237,0.101466544
1700094,PLANT03,3,PORT09,V44_3,266,0.189050715
1700094,PLANT03,3,PORT09,V44_3,247,0.441118336
1700094,PLANT03,3,PORT09,V44_3,321,0.12603381
1700097,PLANT03,3,PORT09,V44_3,292,0.067020725
1689298,PLANT03,3,PORT09,V44_3,249,0.105125162
1651302,PLANT03,3,PORT09,V44_3,366,0.66396044
1651302,PLANT03,3,PORT09,V44_3,321,0.132792088
1651302,PLANT03,3,PORT09,V44_3,335,0.298782198
1651302,PLANT03,3,PORT09,V44_3,346,0.132792088
1651302,PLANT03,3,PORT09,V44_3,272,0.112873275
1651302,PLANT03,3,PORT09,V44_3,479,1.32792088
1651302,PLANT03,3,PORT09,V44_3,880,3.5
1651299,PLANT03,3,PORT09,V44_3,424,0.486766751
1651299,PLANT03,3,PORT09,V44_3,618,0.870095567
1651299,PLANT03,3,PORT09,V44_3,327,0.121691688
1651299,PLANT03,3,PORT09,V44_3,541,0.894433905
1651299,PLANT03,3,PORT09,V44_3,600,0.870095567
1651299,PLANT03,3,PORT09,V44_3,239,0.006084584
1684170,PLANT03,3,PORT09,V44_3,291,2.318463252
1684170,PLANT03,3,PORT09,V44_3,307,2.753175112
1684170,PLANT03,3,PORT09,V44_3,282,0.072451977
1684170,PLANT03,3,PORT09,V44_3,274,2.318463252
1684170,PLANT03,3,PORT09,V44_3,332,1.811299416
1684170,PLANT03,3,PORT09,V44_3,276,1.014327673
1684170,PLANT03,3,PORT09,V44_3,292,2.318463252
1688600,PLANT03,3,PORT09,V44_3,270,3.236024845
1688600,PLANT03,3,PORT09,V44_3,251,1.941614907
1689541,PLANT03,3,PORT09,V44_3,319,0.437569513
1689541,PLANT03,3,PORT09,V44_3,280,2.041991063
1688629,PLANT03,3,PORT09,V44_3,247,0.179365311
1689785,PLANT03,3,PORT09,V44_3,291,0.818904958
1689785,PLANT03,3,PORT09,V44_3,297,0.818904958
1689546,PLANT03,3,PORT09,V44_3,414,7.662544164
1689551,PLANT03,3,PORT09,V44_3,285,0.149271624
1672706,PLANT03,3,PORT09,V44_3,241,0.56512221
1672706,PLANT03,3,PORT09,V44_3,317,0.659309245
1672706,PLANT03,3,PORT09,V44_3,240,0.56512221
1672706,PLANT03,3,PORT09,V44_3,315,0.659309245
1674853,PLANT03,3,PORT09,V44_3,292,3.666587537
1674853,PLANT03,3,PORT09,V44_3,362,3.75388724
1674853,PLANT03,3,PORT09,V44_3,286,4.103086053
1674853,PLANT03,3,PORT09,V44_3,322,4.103086053
1674853,PLANT03,3,PORT09,V44_3,280,0.087299703
1674853,PLANT03,3,PORT09,V44_3,352,2.269792285
1674853,PLANT03,3,PORT09,V44_3,376,4.80148368
1674853,PLANT03,3,PORT09,V44_3,280,2.095192878
1674853,PLANT03,3,PORT09,V44_3,287,1.833293769
1674853,PLANT03,3,PORT09,V44_3,290,3.75388724
1674853,PLANT03,3,PORT09,V44_3,318,2.531691395
1674853,PLANT03,3,PORT09,V44_3,315,4.103086053
1674853,PLANT03,3,PORT09,V44_3,315,3.75388724
1674853,PLANT03,3,PORT09,V44_3,344,3.841186944
1674853,PLANT03,3,PORT09,V44_3,371,4.103086053
1674853,PLANT03,3,PORT09,V44_3,322,3.928486647
